model,accuracy,precision_churn,recall_churn,f1_churn
Logistic Regression (Baseline),0.8225691980127751,0.6892307692307692,0.6005361930294906,0.6418338108882522
Logistic Regression (Class-Weighted),0.7856635911994322,0.5711422845691383,0.7640750670241286,0.6536697247706422
Logistic Regression (Scaled + Weighted),0.7842441447835344,0.5683168316831683,0.7694369973190348,0.6537585421412301
Random Forest (Tuned),0.7842441447835344,0.5775280898876405,0.6890080428954424,0.628361858190709
